# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.497761382978329614e+00,1.162352931737021500e+01,7.876790508509566635e+00,1.594754023548714095e+00,4.150484880204359794e-01,4.072610755515385428e+00,5.051820732124044255e+00
1.597612141843551603e+00,1.152336480017572029e+01,7.872429374643532540e+00,1.632592030856011789e+00,3.389887063231317721e-01,4.194641180535814584e+00,5.967469365936509007e+00
1.697462900708773592e+00,1.142408646888915769e+01,7.864733351612771095e+00,1.662397092378855135e+00,2.584180313271621232e-01,4.334365850137058551e+00,6.793287519014257647e+00
1.797313659573995581e+00,1.132464674897405743e+01,7.854449999556087469e+00,1.683774456214535142e+00,1.675724512694800328e-01,4.488135152907137382e+00,6.708452941493751709e+00
1.897164418439217570e+00,1.122578393399945007e+01,7.842554447704314313e+00,1.695843507283967710e+00,7.911779630644162620e-02,4.634980623994056970e+00,6.627267591298499738e+00
1.997015177304439559e+00,1.112684344299609407e+01,7.829857403719169717e+00,1.699640663468724888e+00,-3.389467680338085088e-03,4.775617319382744697e+00,6.549358542468528555e+00
2.096865936169661548e+00,1.102859485646750670e+01,7.817255333560510167e+00,1.696301672984287023e+00,-5.481793777253965438e-02,4.910645336641636050e+00,6.474412658737902504e+00
2.196716695034883315e+00,1.092890151875502269e+01,7.805014882911885721e+00,1.689091185363409409e+00,-8.694487280805365814e-02,5.040574139584041546e+00,6.402163957076502321e+00
2.296567453900105527e+00,1.083195279721755355e+01,7.793795225686200645e+00,1.684439073754031568e+00,-2.401431931052357485e-03,5.165840639782718569e+00,6.332384212403116663e+00
2.396418212765327294e+00,1.073037387509884333e+01,7.782073459777225644e+00,1.688169235575636584e+00,7.044185630094394746e-02,5.286822888436866208e+00,6.264875841607275397e+00
2.496268971630549505e+00,1.063444238526417429e+01,7.770329970702641198e+00,1.697986189069842666e+00,1.292242734893843115e-01,5.403850614854346368e+00,6.199466425237729617e+00
2.596119730495771272e+00,1.053315941056877669e+01,7.756613547767388539e+00,1.713571083635494929e+00,1.733024140743923691e-01,5.517213456256754078e+00,6.136004428377862752e+00
2.695970489360993483e+00,1.043598322945009826e+01,7.741781222898957537e+00,1.730889868567789591e+00,1.737520222676366133e-01,5.627167468544755025e+00,6.074355814589172731e+00
2.795821248226215250e+00,1.033692976436426569e+01,7.724903641329249560e+00,1.748201551832642586e+00,1.715295355329368165e-01,5.733940337538975918e+00,6.014401335095036494e+00
2.895672007091437461e+00,1.023787076079783098e+01,7.706259370579926049e+00,1.765370057994948283e+00,1.652667741922544675e-01,5.837735594330654365e+00,5.956034335524271306e+00
2.995522765956659228e+00,1.014046896523253771e+01,7.686252903858627583e+00,1.781207588048534518e+00,1.542231479685430284e-01,5.938736057931342849e+00,5.899158964292864127e+00
3.095373524821881439e+00,1.004194911230412401e+01,7.664421406937626635e+00,1.796425511381997353e+00,1.481636993480789644e-01,6.037106671599927310e+00,5.843688696198593213e+00
3.195224283687103206e+00,9.944471210526325322e+00,7.641302053508992387e+00,1.810697274294263082e+00,1.362386326406313797e-01,6.132996858473958923e+00,5.789545105959880367e+00
3.295075042552324973e+00,9.847495261743045347e+00,7.616896871876178921e+00,1.823825348408805169e+00,1.269293836299536793e-01,6.226542492481722313e+00,5.736656841830140685e+00
3.394925801417547184e+00,9.750619777965550128e+00,7.591201088434474720e+00,1.836195791841831237e+00,1.190060821223776905e-01,6.317867558654004512e+00,-5.786678374491007304e+00
3.494776560282768951e+00,9.653204186279955579e+00,7.564111256040611408e+00,1.847688763805688694e+00,1.087607630893986238e-01,6.225740280054165687e+00,-7.924645555012917342e+00
3.594627319147991162e+00,9.558438881208926929e+00,7.536643114384408371e+00,1.858024256149381159e+00,1.011024351202324950e-01,6.097317302705921982e+00,-7.024885519787606114e+00
3.694478078013212929e+00,9.461333348042657576e+00,7.507378328783478771e+00,1.869794939622684282e+00,1.429349649703659797e-01,5.981170285963510302e+00,-4.878993628537418026e+00
3.794328836878435141e+00,9.366570893052829305e+00,7.477322042315148742e+00,1.887160123955748503e+00,2.084921260499216500e-01,5.899157190402433137e+00,-2.761620845082789266e+00
