1.278307248144151664e+01,7.166264871652106905e+00
1.278136677240223307e+01,7.367229640748294450e+00
1.264580384580281347e+01,7.480842775212879658e+00
1.251682842953720076e+01,7.606312630168619471e+00
1.233917565217027246e+01,7.665123835647724704e+00
1.212644340525881326e+01,7.629288640074983086e+00
1.190507656625881161e+01,7.489588376022383365e+00
1.170910173608684879e+01,7.272954895466215319e+00
1.156260636947758869e+01,7.017503571270355067e+00
1.147476808611336807e+01,6.875718976307998886e+00
1.140095314639014745e+01,6.925115466421506660e+00
1.133789549812425790e+01,6.923251356770693477e+00
1.129613981965644243e+01,6.899045011378566628e+00
1.128992875929248463e+01,6.831682739055516151e+00
1.124900969129510031e+01,6.794861935238369455e+00
1.118718682452226965e+01,6.722421232830559923e+00
1.111592627866151517e+01,6.609279786000822554e+00
1.098503308466676032e+01,6.505785910402503092e+00
1.084315234495630342e+01,6.367651107303629487e+00
1.071871987496871270e+01,6.177654507020895913e+00
1.054367741770942679e+01,6.022799994904244336e+00
1.039620269050636914e+01,5.847323799463760352e+00
1.023454694273640442e+01,5.689175799365500552e+00
1.004727850024711699e+01,5.562459187747607281e+00
9.777033060279052279e+00,5.532017877688589991e+00
9.582359513442392895e+00,5.427592598080113184e+00
9.417725302026333623e+00,5.297228673471643390e+00
9.283710671274583603e+00,5.140714913660936247e+00
9.145526969699218967e+00,4.997775617281609684e+00
9.020088351080502775e+00,4.849486788144720784e+00
8.953879222537100446e+00,4.645142345620246971e+00
8.934629490105862715e+00,4.404248675576922345e+00
8.845729789178570002e+00,4.253968035224903410e+00
8.762453195877451861e+00,4.110996612250605864e+00
8.651615584753709953e+00,4.005254127976177081e+00
8.537146119149351620e+00,3.909209778429485915e+00
8.420373096125175039e+00,3.818343801668418358e+00
8.318148741931583601e+00,3.717505065510444240e+00
8.205281708995862289e+00,3.622062034926735397e+00
8.141369672940649949e+00,3.493624693350599664e+00
8.029241433099056025e+00,3.391500214021223591e+00
7.991007745342744606e+00,3.255280987708158325e+00
8.007725330346922021e+00,3.108153411627003315e+00
7.956151061684053616e+00,2.998094889867052970e+00
7.772777327708821460e+00,2.923564686314638728e+00
7.593341537752495540e+00,2.834645650697519947e+00
7.405105005585880917e+00,2.728981575613058208e+00
7.217465920756724884e+00,2.598811432509297692e+00
7.017042970748689434e+00,2.433342945140658742e+00
6.865399757507969269e+00,2.233872227246070707e+00
6.822466150233235993e+00,2.029059946088424216e+00
6.828241468772916711e+00,1.815801128539266118e+00
6.932172483770933979e+00,1.645859374838567479e+00
7.061570296324605422e+00,1.496776802141044582e+00
7.236796341201537253e+00,1.409853801584832755e+00
7.441714738686964203e+00,1.419099621660045552e+00
7.651961966933700232e+00,1.622499592223436649e+00
7.750560578189795713e+00,1.762549209599620914e+00
7.817387450977096641e+00,1.846771566718637292e+00
7.899634891424724970e+00,1.895438236329693105e+00
8.010114181990152460e+00,1.930668884600179158e+00
8.111510735624628765e+00,2.035247207632224331e+00
8.217798495263199499e+00,2.149972144080717573e+00
8.329021082854376701e+00,2.265945527995734565e+00
8.442963063484572928e+00,2.381203689060023887e+00
8.561806235503109264e+00,2.495444896504432020e+00
8.676383902589861918e+00,2.621560688873075140e+00
8.796998927184707995e+00,2.748944875705423119e+00
8.927933404749987645e+00,2.874882145743172579e+00
9.053429934533987478e+00,3.014183123328246783e+00
9.195975762735681514e+00,3.146419192986886770e+00
9.306448392560385585e+00,3.313045744561935901e+00
9.457196114483227944e+00,3.452295061368846785e+00
9.626879992863653257e+00,3.581628833220217523e+00
9.772651654027075807e+00,3.735879561897656131e+00
9.897925197607250425e+00,3.913023856231970576e+00
1.006146528722447719e+01,4.057209461092122993e+00
1.021171900348712391e+01,4.209491119313637952e+00
1.035779899950465754e+01,4.362451906337882157e+00
1.050646843905255956e+01,4.510068432934001947e+00
1.064750503624237510e+01,4.663020268974718441e+00
1.079839347238334035e+01,4.803795007943242545e+00
1.089545767567764045e+01,4.999934097625978069e+00
1.104078963380392686e+01,5.143923957616291176e+00
1.118080039676377879e+01,5.292435371766572416e+00
1.130294702801214690e+01,5.459470657131300975e+00
1.144159554871426820e+01,5.607902593917179601e+00
1.159859534211444831e+01,5.737033885922208754e+00
1.173155918650972218e+01,5.889197740802228687e+00
1.186306657400871067e+01,6.024492075560614168e+00
1.197802198360236403e+01,6.146596936032642233e+00
1.208774760172929774e+01,6.242584376064439944e+00
1.216622059900982400e+01,6.331690945808268189e+00
1.225082358769929236e+01,6.387808393229414072e+00
1.231681763558146869e+01,6.437376448018985897e+00
1.232410512181824025e+01,6.505977793132760922e+00
1.222783192224388849e+01,6.583164205771945277e+00
1.215664862846711713e+01,6.637669804767991621e+00
1.246749399645340972e+01,6.767550181974922197e+00
1.279332312746591782e+01,7.001869179302713242e+00
