# x_m,y_m,w_tr_right_m,w_tr_left_m
10.9559,3.8293,0.8600,0.7900
11.0243,3.9025,0.8500,0.8000
11.0929,3.9754,0.8800,0.7900
11.1615,4.0483,0.8500,0.7900
11.2298,4.1215,0.8800,0.8000
11.2980,4.1948,0.8600,0.7700
11.3661,4.2682,0.8700,0.7900
11.4348,4.3411,0.8900,0.8400
11.5034,4.4140,0.8700,0.8500
11.5729,4.4860,0.8800,0.8300
11.6435,4.5570,0.9000,0.8500
11.7141,4.6280,0.8800,0.8300
11.7858,4.6979,0.8700,0.8600
11.8580,4.7673,0.9000,0.8900
11.9301,4.8368,0.8600,0.8800
12.0016,4.9068,0.8900,0.8800
12.0732,4.9768,0.8700,0.9000
12.1442,5.0474,0.8900,0.8800
12.2139,5.1193,0.8600,0.8700
12.2835,5.1913,0.8900,0.8900
12.3524,5.2639,0.8600,0.8800
12.4207,5.3371,0.9000,0.8600
12.4890,5.4103,0.8800,0.8800
12.5578,5.4831,0.8900,0.8500
12.6267,5.5557,0.9000,0.8800
12.6958,5.6282,0.8900,0.8500
12.7663,5.6993,0.8900,0.8700
12.8368,5.7704,0.9100,0.8500
12.9070,5.8418,0.8900,0.8900
12.9767,5.9136,0.9100,0.8900
13.0465,5.9854,0.9100,0.8900
13.1077,6.0645,0.9100,0.9000
13.1676,6.1447,0.9600,0.9000
13.2120,6.2329,1.0400,0.9000
13.2415,6.3285,1.1700,0.9300
13.2571,6.4259,1.2200,0.9700
13.2509,6.5258,1.4400,1.0200
13.2378,6.6243,1.8200,1.0300
13.2025,6.7180,1.4700,1.0800
13.1672,6.8117,1.4600,0.9400
13.1319,6.9053,1.4400,0.7400
13.0965,6.9990,1.3700,0.4900
13.0612,7.0927,1.3500,0.2900
13.0259,7.1864,1.2300,0.2500
