# x,y,yaw
-0.2450,0.4361,-0.2221
-0.0728,0.3972,0.0303
0.1106,0.4028,0.2311
0.2994,0.4472,0.3753
0.4828,0.5194,0.4398
0.6717,0.6083,0.5096
0.8606,0.7139,0.5948
1.0494,0.8417,0.6711
1.2383,0.9917,0.7393
1.4272,1.1639,0.7551
1.6161,1.3417,0.7551
1.8050,1.5194,0.7551
1.9939,1.6972,0.7560
2.1883,1.8806,0.7999
2.3772,2.0750,0.8140
2.5661,2.2750,0.8288
2.7494,2.4750,0.8599
2.9217,2.6750,0.9098
3.0772,2.8750,1.0023
3.2050,3.0750,1.0852
3.3106,3.2750,1.2243
3.3828,3.4750,1.4289
3.4106,3.6694,1.6332
3.3994,3.8472,1.9255
3.3439,3.9972,2.2287
3.2494,4.1194,2.5051
3.1217,4.2139,2.7673
2.9661,4.2750,3.0133
2.7939,4.2972,-3.0536
2.6050,4.2806,-2.8706
2.4050,4.2250,-2.7004
2.2050,4.1306,-2.5930
2.0050,4.0083,-2.5346
1.8050,3.8694,-2.4981
1.6050,3.7194,-2.4469
1.4050,3.5528,-2.4307
1.2050,3.3806,-2.4150
1.0050,3.2028,-2.4150
0.8050,3.0250,-2.4150
0.6050,2.8472,-2.4150
0.4050,2.6694,-2.4150
0.2050,2.4917,-2.4307
0.0050,2.3194,-2.4009
-0.1894,2.1417,-2.3403
-0.3617,1.9639,-2.2381
-0.5061,1.7806,-2.1375
-0.6228,1.5972,-2.0106
-0.7117,1.4083,-1.8296
-0.7617,1.2194,-1.6020
-0.7672,1.0417,-1.3668
-0.7339,0.8806,-1.0769
-0.6561,0.7361,-0.8086
-0.5394,0.6139,-0.6240
-0.4006,0.5139,-0.4636
