# x,y,yaw
1.5966,-3.0500,-2.1073
1.5341,-3.1417,-2.2340
1.4595,-3.2266,-2.3559
1.3637,-3.3113,-2.4940
1.2572,-3.3938,-2.6299
1.1385,-3.4656,-2.7610
1.0047,-3.4981,-2.9112
0.9011,-3.5252,-3.0114
0.7408,-3.5490,3.1131
0.5829,-3.5492,2.9716
0.4618,-3.5252,2.8498
0.3689,-3.4869,2.7333
0.2730,-3.4475,2.6287
0.1687,-3.3825,2.5098
0.0904,-3.3160,2.3959
-0.0043,-3.2135,2.2570
-0.0881,-3.0844,2.0969
-0.1616,-2.9374,1.9596
-0.1917,-2.8402,1.8462
-0.2141,-2.7343,1.7488
-0.2327,-2.6047,1.6250
-0.2314,-2.4657,1.4704
-0.2162,-2.3562,1.3599
-0.1886,-2.2555,1.2549
-0.1558,-2.1552,1.1606
-0.1064,-2.0627,1.0466
-0.0465,-1.9339,1.0681
0.0181,-1.8145,1.0755
0.0642,-1.7188,1.0866
0.1124,-1.6278,1.0142
0.1808,-1.4961,1.0186
0.2480,-1.3742,1.0350
0.3026,-1.2780,0.9858
0.3587,-1.1831,1.0041
0.4301,-1.0586,1.0163
0.4924,-0.9388,1.0444
0.5674,-0.8163,0.9266
0.6485,-0.6887,0.9551
0.7245,-0.5660,0.9722
0.8027,-0.4456,0.9718
0.8585,-0.3589,0.9744
0.9290,-0.2417,0.9879
0.9862,-0.1579,0.9836
1.0387,-0.0720,0.8987
1.1145,0.0417,0.9270
1.1898,0.1654,0.9565
1.2663,0.2952,0.9819
1.3128,0.3880,1.0013
1.3819,0.5213,1.0220
1.4262,0.6140,1.0378
1.4726,0.7062,1.0483
1.5342,0.8304,1.0560
1.5828,0.9303,1.0641
1.6409,1.0636,1.0131
1.7097,1.1963,0.9688
1.7673,1.2785,0.8682
1.8663,1.3906,0.7220
1.9423,1.4566,0.6246
2.0497,1.5358,0.4991
2.1812,1.5977,0.3504
2.2725,1.6388,0.2649
2.4045,1.6640,0.1201
2.5327,1.6758,-0.0114
2.6801,1.6658,-0.1646
2.7824,1.6501,-0.2569
2.9160,1.6104,-0.4050
3.0352,1.5639,-0.5330
3.1533,1.4836,-0.6889
3.2429,1.4051,-0.8392
3.3277,1.2946,-0.9880
3.3976,1.1775,-1.1259
3.4496,1.0904,-1.2054
3.4988,0.9600,-1.2674
3.5272,0.8536,-1.3697
3.5521,0.7160,-1.5082
3.5561,0.5784,-1.6496
3.5372,0.4287,-1.8063
3.5043,0.3036,-1.9479
3.4640,0.2089,-2.0459
3.4131,0.1060,-2.0833
3.3596,0.0033,-2.0829
3.3023,-0.0957,-2.0901
3.2262,-0.2300,-2.1759
3.1688,-0.3183,-2.1723
3.1009,-0.4262,-2.1933
3.0243,-0.5242,-2.2440
2.9394,-0.6342,-2.2297
2.8507,-0.7495,-2.2141
2.7966,-0.8403,-2.2036
2.7395,-0.9265,-2.1940
2.6847,-1.0111,-2.1830
2.6329,-1.1007,-2.1698
2.5832,-1.1949,-2.1530
2.5161,-1.3252,-2.1261
2.4740,-1.4207,-2.1002
2.4267,-1.5120,-2.0908
2.3759,-1.6057,-2.0888
2.3265,-1.7036,-2.0837
2.2773,-1.8108,-2.1004
2.2337,-1.9078,-2.0854
2.1702,-2.0397,-2.0626
2.1254,-2.1322,-2.1015
2.0657,-2.2651,-2.0658
2.0202,-2.3573,-2.0587
