# x,y,yaw
0.8358,-2.7050,-0.2537
0.9858,-2.7439,0.0333
1.1524,-2.7383,0.2826
1.3247,-2.6883,0.4900
1.4913,-2.5994,0.6435
1.6469,-2.4828,0.7854
1.7913,-2.3383,0.8961
1.9247,-2.1717,0.9685
2.0469,-1.9939,1.0612
2.1524,-1.8050,1.1296
2.2469,-1.6050,1.1526
2.3358,-1.4050,1.1526
2.4247,-1.2050,1.1760
2.5080,-1.0050,1.1760
2.5913,-0.8050,1.1760
2.6747,-0.6050,1.1760
2.7580,-0.4050,1.1526
2.8469,-0.2050,1.1526
2.9358,-0.0050,1.1999
3.0136,0.1950,1.1999
3.0913,0.3950,1.2490
3.1580,0.5950,1.2998
3.2136,0.7950,1.4570
3.2358,0.9894,1.6332
3.2247,1.1672,1.8400
3.1802,1.3283,2.0941
3.0969,1.4728,2.2865
2.9858,1.6006,2.5253
2.8524,1.6950,2.8095
2.6913,1.7506,3.0750
2.5247,1.7617,-2.9442
2.3580,1.7283,-2.6929
2.2080,1.6561,-2.4981
2.0747,1.5561,-2.3108
1.9580,1.4283,-2.1670
1.8524,1.2728,-2.1066
1.7469,1.0950,-2.0344
1.6524,0.9061,-1.9757
1.5691,0.7117,-1.9996
1.4802,0.5172,-2.0230
1.3858,0.3228,-2.0458
1.2858,0.1283,-2.0458
1.1858,-0.0661,-2.0681
1.0802,-0.2606,-2.0681
0.9747,-0.4550,-1.9890
0.8858,-0.6550,-1.9656
0.8024,-0.8550,-1.9417
0.7247,-1.0550,-1.8925
0.6580,-1.2550,-1.8673
0.5969,-1.4550,-1.8417
0.5413,-1.6550,-1.7895
0.4969,-1.8550,-1.6563
0.4802,-2.0494,-1.4773
0.4969,-2.2272,-1.3016
0.5413,-2.3883,-1.0913
0.6136,-2.5272,-0.8124
0.7136,-2.6328,-0.5337
