# x,y,yaw
1.6282,-2.5966,-2.1841
1.5395,-2.7043,-2.3248
1.4606,-2.7798,-2.4426
1.3742,-2.8451,-2.5595
1.2695,-2.9111,-2.6799
1.1759,-2.9642,-2.7757
1.0104,-3.0221,-2.9530
0.8556,-3.0426,-3.1136
0.7405,-3.0460,3.0537
0.6338,-3.0341,2.9382
0.5345,-3.0153,2.8376
0.4322,-2.9847,2.7404
0.3068,-2.9257,2.5842
0.1881,-2.8495,2.4359
0.0869,-2.7619,2.2899
-0.0039,-2.6502,2.1351
-0.0700,-2.5335,1.9911
-0.1273,-2.4113,1.8608
-0.1646,-2.2651,1.7132
-0.1383,-2.4439,1.7043
-0.1230,-2.5579,1.7043
-0.1016,-2.6616,1.6962
-0.1090,-2.5583,1.6063
-0.1016,-2.3979,1.4329
-0.0730,-2.2645,1.3565
-0.0256,-2.1361,1.3218
0.0212,-2.0208,1.3042
0.0766,-1.9077,1.2615
0.1665,-1.7531,1.1017
0.2249,-1.6221,1.1295
0.2780,-1.5035,1.1321
0.3230,-1.4112,1.1311
0.3812,-1.2751,1.1356
0.4313,-1.1711,1.0899
0.4861,-1.0405,1.1092
0.5502,-0.8899,1.1234
0.5966,-0.7982,1.1139
0.6504,-0.6587,1.1125
0.6882,-0.5634,1.0161
0.7456,-0.4632,0.9419
0.8006,-0.3644,0.9585
0.8749,-0.2433,0.9742
0.9449,-0.1327,0.9935
1.0156,-0.0084,0.9586
1.0771,0.0714,0.8907
1.1259,0.1625,0.9208
1.1811,0.2511,0.9362
1.2610,0.3751,0.9510
1.3418,0.5092,0.9683
1.3968,0.6032,0.9843
1.4640,0.7227,0.9962
1.5171,0.8107,0.9950
1.5634,0.9096,1.0139
1.6128,0.9968,1.0283
1.6875,1.1157,0.9449
1.7629,1.2415,0.8757
1.8614,1.3644,0.7541
1.9568,1.4666,0.6366
2.0780,1.5475,0.4897
2.2057,1.6241,0.3573
2.3316,1.6739,0.2270
2.4669,1.6995,0.0797
2.6043,1.7002,-0.0632
2.7348,1.6884,-0.1923
2.8809,1.6569,-0.3456
2.9761,1.6206,-0.4586
3.1027,1.5586,-0.5997
3.2194,1.4736,-0.7497
3.2903,1.4022,-0.8479
3.3718,1.2939,-1.0060
3.4197,1.1898,-1.1362
3.4719,1.0860,-1.2321
3.5099,0.9456,-1.3892
3.5333,0.8021,-1.5322
3.5358,0.6684,-1.6696
3.5193,0.5278,-1.8071
3.4971,0.4204,-1.9270
3.4614,0.3150,-2.0382
3.3843,0.1802,-2.1479
3.3126,0.0558,-2.1446
3.2304,-0.0623,-2.1556
3.1558,-0.1834,-2.1521
3.0930,-0.2952,-2.1431
3.0184,-0.4229,-2.1300
2.9492,-0.5623,-2.1341
2.8918,-0.6664,-2.1582
2.8288,-0.7805,-2.1213
2.7799,-0.8773,-2.1033
2.7349,-0.9696,-2.0876
2.6841,-1.0674,-2.0842
2.6378,-1.1718,-2.0692
2.5752,-1.3066,-2.1128
2.5229,-1.4053,-2.2004
2.4648,-1.4927,-2.1919
2.4124,-1.5905,-2.1654
2.3358,-1.7159,-2.1748
2.2568,-1.8436,-2.2078
2.1773,-1.9583,-2.1893
2.1243,-2.0508,-2.1735
2.0741,-2.1395,-2.1580
2.0053,-2.2616,-2.1378
1.9438,-2.3786,-2.1206
1.8984,-2.4787,-2.1025
1.8409,-2.5926,-2.1794
1.7904,-2.6842,-2.1696
1.7340,-2.7832,-2.1577
1.6691,-2.9126,-2.1364
1.6258,-3.0033,-2.1243
